"Country","latest.year.available","CH4.emissions","CH4.emissions.per.capita","CH4.change.since.1990","N2O.emissions","N2O.emissions.per.capita","N2O.change.since.1990","X","Total_Emissions","Methane_Safety","Nitrous_Oxide_Safety","Overall_Safety","Emission_Ratio","Pollution_Profile","Region"
"Afghanistan",2005,10.16,0.42,-7.035,5.94,0.24,-2.29450483983098,NA,16.1,"Safe","Safe","Safe",1.71040891567482,"Balanced Profile","Asia"
"Albania",1994,2.14,0.68,-7.035,0.29,0.09,-2.29450483983098,NA,2.43,"Safe","Safe","Safe",7.3767666321958,"Methane-Dominant","Europe"
"Algeria",2000,32.92,1.06,-7.035,6.5,0.21,-2.29450483983098,NA,39.42,"Safe","Safe","Safe",5.06453746865433,"Methane-Dominant","Africa"
"Angola",2005,19.93,1.11,-7.035,13.87,0.77,-2.29450483983098,NA,33.8,"Safe","Safe","Safe",1.43690384351951,"Balanced Profile","Africa"
"Antigua and Barbuda",2000,0.14,1.83,43.74,0.08,1.08,17.3219719267376,NA,0.22,"Safe","Safe","Safe",1.7478152309613,"Balanced Profile","Americas"
"Argentina",2000,84.85,2.29,10.5,67.5,1.82,3.11618314759116,NA,152.35,"Dangerous","Dangerous","Dangerous",1.2570351747627,"Balanced Profile","Americas"
"Armenia",2010,2.26,0.76,-28.66,0.48,0.16,5.70273798900064,NA,2.74,"Safe","Safe","Safe",4.70735263486774,"Methane-Dominant","Asia"
"Australia",2012,111.71,4.88,-3.02,25.78,1.13,3.4321630682331,NA,137.49,"Dangerous","Dangerous","Dangerous",4.33318722580595,"Methane-Dominant","Oceania"
"Austria",2012,5.31,0.63,-36.32,5.22,0.62,-2.50664896748229,NA,10.53,"Safe","Safe","Safe",1.01722189230091,"Balanced Profile","Europe"
"Azerbaijan",1994,9.29,1.21,-38.78,0.66,0.09,-2.97384673892841,NA,9.95,"Safe","Safe","Safe",14.0736252083018,"Methane-Dominant","Asia"
"Bahamas",1994,0.02,0.08,0,0.31,1.12,-2.29450483983098,NA,0.33,"Safe","Safe","Safe",0.0644953240890035,"Nitrous-Dominant","Americas"
"Bahrain",2000,3.91,7.11,-7.035,0.04,0.07,-2.29450483983098,NA,3.95,"Safe","Safe","Safe",97.5062344139651,"Methane-Dominant","Asia"
"Bangladesh",2005,39.47,0.28,-7.035,19.11,0.13,-2.29450483983098,NA,58.58,"Safe","Dangerous","Safe",2.06539997174269,"Methane-Dominant","Asia"
"Barbados",1997,1.81,6.77,8.78,0.05,0.19,0,NA,1.86,"Safe","Safe","Safe",36.127744510978,"Methane-Dominant","Americas"
"Belarus",2012,15.39,1.62,1.14,16.4,1.73,-2.64573896922358,NA,31.79,"Safe","Safe","Safe",0.93840891214078,"Balanced Profile","Europe"
